namespace,term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable,term_status,term_added,term_modified
ltc:,statusChangeReason,Status Change Reason,An explanation of why the collection transitioned to the value set in the status property.,,statusChangeReason should be aligned with the value of statusType.,"`Pest infestation`, `Exchange`, `Transfer`, `Return to country of origin`, `Worldwide pandemic`, `moved to secure off-site storage`, `reorganization, no access from 2020-2023`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,No,No,original,08/07/2022,
ltc:,statusType,Status Type,A top-level classification of the different categories of status that can be applied to the collection.,,statusType forms the top level of a two-level hierarchy with the status property. Recommended best practice is to use a controlled vocabulary.,"`Stewardship`, `Accessibility`, `Completeness`, `Growth Status`, `Organizational`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,Yes,No,original,08/07/2022,
ltc:,ContactDetail,Contact Detail,Details of a method by which an entity such as a Person or OrganisationalUnit may be contacted.,,"The Address class should be used to store physical or postal addresses. For all other types of contact details, this class should be used.",,http://www.w3.org/2000/01/rdf-schema#Class,ContactDetail,No,Yes,original,08/07/2022,
ltc:,contactDetailCategory,Contact Detail Category,The method of contact to which the contact detail applies.,,Recommended practice is to use a controlled vocabulary.,"`Email`, `Phone (mobile)`, `Phone (home)`, `Twitter handle`, `GitHub handle`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContactDetail,Yes,No,original,08/07/2022,
ltc:,contactDetailFunction,Contact Detail Function,A brief label describing the nature of the enquiry or enquiries that are appropriate to direct to the contact detail.,,,"`Loan requests`, `General enquiries`, `Data issues`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContactDetail,No,Yes,proposed,06/04/2023,
ltc:,contactDetailValue,Contact Detail Value,"The value of the contact detail, such as the phone number or email address.",,,"`01234 567891`, `someone@example.org`, `@github_user`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContactDetail,Yes,No,original,08/07/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContactDetail,No,No,original,08/07/2022,
ltc:,EcologicalContext,Ecological Context,"The ecological and/or biogeographic classification of the region from which objects associated with the ObjectGroup were collected, or where an Event took place.",,"There is some conceptual overlap with the GeographicContext class with respect to geographic locations. This class should be used for biogeographic and ecological concepts, whereas for physical, political and administrative geographic locations, the GeographicContext class is more appropriate. Specific information about the habitat and ecological conditions that applied at the time that an event took place should be recorded in the `habitat` property of the Event class.",,http://www.w3.org/2000/01/rdf-schema#Class,EcologicalContext,No,Yes,expert review,01/05/2023,
ltc:,biogeographicRealm,Biogeographic Realm,"The broadest biogeographic division of Earth's land and marine surface, based on distributional patterns of terrestrial and marine organisms.",,"This term may commonly be used in a biogeographic hierarchy above marineProvince (marine only), ecoregion and ecosystem. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ","`Afrotropical`, `Australasian`, `Indomalayan`, `Nearctic`, `Arctic`, `Temperate Northern Atlantic`, `Temperate Northern Pacific`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,biome,Biome,A biogeographical unit consisting of a biological community that has formed in response to the physical environment in which they are found and a shared regional climate.,,"This property can be used to record terrestrial, freshwater and marine biomes. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ","`Deserts and xeric shrublands`, `Tropical and subtropical moist broadleaf forests`, `Open sea`, `Deep sea`, `Littoral/Intertidal zone`, `Salt marsh`, `Estuaries`, `Large lakes`, `Large river deltas`, `Polar freshwaters`, `Tropical and subtropical coastal rivers`, `Tropical and subtropical floodplain rivers and wetlands`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,biomeType,Biome Type,A top level classification of the type of biome from which objects were collected or where an event took place. ,,"The biomeType is positioned at a level between the biosphere (the global sum of all ecosystems on Earth) and the more detailed terrestrial, marine and freshwater biomes. The latter should be recorded using the EcologicalContext.biome property.","`Terrestrial`, `Marine`, `Freshwater`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,bioregion,Bioregion,"An ecologically and geographically defined area that is smaller than a biogeographic realm, but larger than an ecoregion or an ecosystem.",,"This is analagous with the marine province concept for marine regions. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998), from which this concept originated. ","`Western Africa and Sahel`, `New Guinea and Melanesia`, `Indian subcontinent`, `South China Sea`, `Mediterranean Sea`, `Central Indian Ocean Islands`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,ecoregion,Ecoregion,"An ecologically and geographically defined area that is smaller than a bioregion, which in turn is smaller than a biogeographic realm. Ecoregions cover relatively large areas of land or water, and contain characteristic, geographically distinct assemblages of natural communities and species.",,It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ,"`Albertine Rift montane forests`, `Atlantic Equatorial coastal forests`, `Irrawaddy freshwater swamp forests`, `Adriatic Sea`, `Cortezian`, `Ningaloo`, `Ross Sea`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,ecosystem,Ecosystem,"A specific kind of ecological classification that considers all four elements of the definition of ecosystems: a biotic component, an abiotic complex, the interactions between and within them, and the physical space that they occupy.",,,"`Orjen, vegetation belt between 1,100 and 1,450 m, Oromediterranean zone, nemoral zone (temperate zone)`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,habitat,Habitat,A description of the type of environment in which an organism lives.,,,"`oak savanna`, `pre-cordilleran steppe`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,original,08/07/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,hasMeasurementOrFact,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,hasReference,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EcologicalContext,No,No,expert review,01/05/2023,
ltc:,Event,Event,An action that occurs at some location during some time.,,Derived from dwc Class event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). This class has been defined under the ltc namespace because it only has a subset of the properties of DwC:Event. All ltc:Event properties are borrowed from and reference the dwc namespace. Examples of an Event include: A specimen collection process. A camera trap image capture. A marine trawl.,,http://www.w3.org/2000/01/rdf-schema#Class,Event,No,Yes,original,08/07/2022,
ltc:,eventName,Event Name,The name commonly used to identify or refer to the event.,,,"`Trawl 3.42`, ` Voyage of the Rattlesnake 1846-1850`, `Donner-Reed Party`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,hasEcologicalContext,Has Ecological Context,This property refers to one or more related instances of the EcologicalContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,expert review,01/05/2023,
ltc:,hasGeographicContext,Has Geographic Context,This property refers to one or more related instances of the GeographicContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,expert review,26/04/2023,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,hasMeasurementOrFact,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,hasParentEvent,Has Parent Event,This property refers to one or more related parent instances of the Event class.,This term should only contain Events that can be considered to be a parent of the current instance.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,proposed,06/04/2023,
ltc:,hasPersonRole,Has Person Role,This property refers to one or more related instances of the PersonRole class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,hasReference,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,hasTemporalCoverage,Has Temporal Coverage,This property refers to one or more related instances of the TemporalCoverage class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
dwc:,samplingProtocol,Sampling Protocol,"The name of, reference to, or description of the method or protocol used during an Event",,The primary use of this property is to describe the methods or protocols used to gather objects in the collection.,"`UV light trap` `mist net` `bottom trawl` `ad hoc observation` `Penguins from space: faecal stains reveal the location of emperor penguin colonies, https://doi.org/10.1111/j.1466-8238.2009.00467.x` `Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp., http://www.bsc-eoc.org/download/Owl.pdf`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
dwc:,verbatimEventDate,Verbatim Event Date,The verbatim original representation of the date and time information for an Event.,,,"`spring 1910`, `Marzo 2002`, `1999-03-XX`, `17IV1934`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Event,No,No,original,08/07/2022,
ltc:,GeographicContext,Geographic Context,"The geographic location from which objects associated with the ObjectGroup were collected, or where an Event took place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,GeographicContext,No,Yes,original,08/07/2022,
dwc:,continent,Continent,The name of the continent in which the Location occurs.,The name of the continent in which the GeographicContext is located.,Based on best practice Getty Thesaurus of Geographic Names. --> http://www.getty.edu/vow/TGNHierarchy?find=&place=&nation=&english=Y&subjectid=7029392. For cultural collections such as economic botany use the Region field to record things like Pacific to replace Oceania.,"`Africa`, `Antarctica`, `Asia`, `Europe`, `North America`, `Oceania`, `South America`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
dwc:,country,Country,The name of the country or major administrative unit in which the Location occurs.,The name of the country or major administrative unit in which the GeographicContext is located.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names,"`Angola`, `Denmark`, `Colombia`, `Españax`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
dwc:,countryCode,Country Code,The standard code for the country in which the Location occurs.,The standard code for the country in which the GeographicContext is located.,Recommended best practice is to use an ISO 3166-1-alpha-2 country code.,"`AR`, `SV`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
dwc:,county,Second Order Division,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.","The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the GeographicContext is located.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Missoula`, `Los Lagos`, `Mataró`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
ltc:,hasMeasurementOrFact,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
ltc:,hasReference,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
dwc:,island,Island,The name of the island on or near which the Location occurs.,The name of the island on or near which the GeographicContext is located.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Nosy Be`, `Bikini Atoll`, `Vancouver`, `Viti Levu`, `Zanzibar`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
dwc:,islandGroup,Island Group,The name of the island group in which the Location occurs.,The name of the island group in which the location occurs.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. ,"`Alexander Archipelago`, `Archipiélago Diego Ramírez`, `Seychelles`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
dwc:,locality,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.","The specific description of the place. Less specific geographic information can be provided in other geographic terms (continent, waterBody). This term may contain information modified from the original to correct perceived errors or standardize the description.",,"`Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237).`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
dwc:,municipality,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.","The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the GeographicContext is located. Do not use this term for a nearby named place that does not contain the actual location.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
ltc:,region,Region,The name of a spatial region or named place of any size within an individual or multiple administrative areas.,,"Recommended best practice is to use this field in situations where the administrative location fields (country, stateProvince, county, etc.) provide insufficient description. For geological collections examples include basins, provinces, and fossil deposits.","Multi-country: `North European Plain`, Multi-state/Province: `Pacific Northwest`, Waterbody: `Southern`, Geological basins and provinces: `Michigan Basin`, `Mazon Creek`, `Bundenbach`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
ltc:,salinityType,Salinity Type,A set of terms to indicate the water environment of aquatic collections.,,"This should not be construed as a measurement value, but as a descriptive terms to allow for searching for freshwater vs marine etc. collections.","`marine`, `fresh`, `brackish`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
dwc:,stateProvince,First Order Division,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the GeographicContext is located.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Montana`, `Minas Gerais`, `Córdoba`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,24/11/2022,
dwc:,waterBody,Water Body,The name of the water body in which the Location occurs.,The name of the water body in which the GeographicContext is located.,"This is intended to define the lowest water body or aquatic feature that defines the geographical constraints of aquatic collections below ocean. Suggestions for appropriate vocabularies include: HydroLAKES (https://www.hydrosheds.org/page/hydrolakes), a database aiming to provide the shoreline polygons of all global lakes with a surface area of at least 10 ha, the 'water body' term in the OBO ontology (http://purl.obolibrary.org/obo/ENVO_00000063) and, for marine water bodies, IHO Sea Areas (http://www.vliz.be/en/imis?dasid=5444&doiid=323).","`Baltic Sea`, `Hudson River`, `Lago Nahuel Huapi`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
ltc:,waterBodyType,Waterbody Type,A term that indicates the aquatic order of a waterbody.,,"Recommendation is to use a controlled vocabulary, such as those fuind at https://www.usgs.gov/mission-areas/water-resources/science/types-water and https://sciencetrends.com/types-bodies-water-complete-list/.","`Ocean`, `Sea`, `Lake`, `Pond`, `River`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeographicContext,No,No,original,08/07/2022,
dwc:,GeologicalContext,Geological Context,"Geological information, such as stratigraphy, that qualifies a region or place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,GeologicalContext,No,Yes,original,08/07/2022,
dwc:,bed,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,The full name of the lithostratigraphic bed from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Beecher Trilobite Bed`, `McAbee Fossil Beds`, `Ashfall Fossil Beds`, `Nut Beds`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeologicalContext,No,No,original,08/07/2022,
dwc:,earliestAgeOrLowestStage,Earliest Age Or Lowest Stage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Atlantic`, `Boreal`, `Frasnian`, `Hirnantian`, `Maastrichtian`, `Bridgerian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeologicalContext,No,No,original,08/07/2022,
dwc:,earliestEonOrLowestEonothem,Earliest Eon Or Lowest Eonothem,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Phanerozoic`, `Proterozoic`, `Arechean`, `Hadean`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeologicalContext,No,No,original,08/07/2022,
dwc:,earliestEpochOrLowestSeries,Earliest Epoch Or Lowest Series,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html",`Holocene` `Pleistocene` `Ibexian` `Late Devonian`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeologicalContext,No,No,original,08/07/2022,
dwc:,earliestEraOrLowestErathem,Earliest Era Or Lowest Erathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Cenozoic`, `Mesozoic`, `Paleozoic`, `Neoproterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeologicalContext,No,No,original,08/07/2022,
