term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable
municipality,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.","The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the GeographicContext is located. Do not use this term for a nearby named place that does not contain the actual location.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicContext,No,No
stateProvince,First Order Division,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the GeographicContext is located.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Montana`, `Minas Gerais`, `Córdoba`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicContext,No,No
waterBody,Water Body,The name of the water body in which the Location occurs.,The name of the water body in which the GeographicContext is located.,"This is intended to define the lowest water body or aquatic feature that defines the geographical constraints of aquatic collections below ocean. Suggestions for appropriate vocabularies include: HydroLAKES (https://www.hydrosheds.org/page/hydrolakes), a database aiming to provide the shoreline polygons of all global lakes with a surface area of at least 10 ha, the 'water body' term in the OBO ontology (http://purl.obolibrary.org/obo/ENVO_00000063) and, for marine water bodies, IHO Sea Areas (http://www.vliz.be/en/imis?dasid=5444&doiid=323).","`Baltic Sea`, `Hudson River`, `Lago Nahuel Huapi`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicContext,No,No
bed,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,The full name of the lithostratigraphic bed from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Beecher Trilobite Bed`, `McAbee Fossil Beds`, `Ashfall Fossil Beds`, `Nut Beds`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
earliestAgeOrLowestStage,Earliest Age Or Lowest Stage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Atlantic`, `Boreal`, `Frasnian`, `Hirnantian`, `Maastrichtian`, `Bridgerian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
earliestEonOrLowestEonothem,Earliest Eon Or Lowest Eonothem,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Phanerozoic`, `Proterozoic`, `Arechean`, `Hadean`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
earliestEpochOrLowestSeries,Earliest Epoch Or Lowest Series,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html",`Holocene` `Pleistocene` `Ibexian` `Late Devonian`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
earliestEraOrLowestErathem,Earliest Era Or Lowest Erathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Cenozoic`, `Mesozoic`, `Paleozoic`, `Neoproterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
earliestPeriodOrLowestSystem,Earliest Period Or Lowest System,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Neogene`, `Quaternary`, `Jurassic`, `Devonian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
formation,Formation,The full name of the lithostratigraphic formation from which the cataloged item was collected.,The full name of the lithostratigraphic formation from which objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Notch Peak Formation`, ` House Limestone`, `Fillmore Formation`, `Redwall Limestone`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
group,Group,The full name of the lithostratigraphic group from which the cataloged item was collected.,The full name of the lithostratigraphic group from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Bathurst`, `Wealden`, `Elk Mound`, `Supai`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
latestAgeOrHighestStage,Latest Age Or Highest Stage,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Atlantic`, `Boreal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
latestEonOrHighestEonothem,Latest Eon Or Highest Eonothem,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Phanerozoic`, `Proterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
latestEpochOrHighestSeries,Latest Epoch Or Highest Series,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Holocene`, `Pleistocene`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
latestEraOrHighestErathem,Latest Era Or Highest Erathem,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Cenozoic`, `Mesozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
latestPeriodOrHighestSystem,Latest Period Or Highest System,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Neogene`, `Tertiary`, `Quaternary`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
member,Member,The full name of the lithostratigraphic member from which the cataloged item was collected.,The full name of the lithostratigraphic member from which objects in the collection originated.,Recommend vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Lava Dam Member`, `Hellnmaria Member`, `Francis Creek Shale`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,No,No
measurementAccuracy,Measurement Accuracy,The description of the potential error associated with the measurementValue.,The description of the potential error associated with the measurementValue applied to the collection.,,"`0.01`, `Normal distribution with variation of 2 m`, `Reported`, `Estimated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementMethod,Measurement Method,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",,,"`DiSSCo MIDS level`, `CD Standard Metric`, `https://doi.org/10.5281/zenodo.3465285`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementRemarks,Measurement Remarks,Comments or notes accompanying the MeasurementOrFact.,,,"`Does not include on-loan material`, `Footprint includes housing`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementType,Measurement Type,"The nature of the measurement, fact, characteristic, or assertion.",,Recommended best practice is to use a controlled vocabulary.,"`Imaged Level Percentage`, `Storage Volume`, `Object Count`, `MIDS-0 Object Count`, `Historical narrative`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementUnit,Measurement Unit,The units associated with the measurementValue.,,"For some use cases, this property can also be used to reflect the type of value being stored (e.g. a count, or a percentage).","`mm`, `C`, `km`, `ha`, `count`, `percentage`, `category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementValue,Measurement Value,"The value of the measurement, fact, characteristic, or assertion.",The numeric value of the quantitative measurement being made about the collection.,"In the Collection Description standard, this field is constrained to only accept numeric values in order to better support the aggregation of quantitative metrics. For any non-numeric values, and metrics where the scale is a numeral that cannot be used in any calculations the measurementFactText property should be used instead.","`45`, `20000`, `1`, `14.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
degreeOfEstablishment,Degree of Establishment,"The degree to which an Organism survives, reproduces, and expands its range at the given place and time.",,"Some preserved collections are specifically created from cultivated or captive organisms, or perhaps from rare vagrants. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084.","`native`, `captive`, `cultivated`, `released`, `failing`, `casual`, `reproducing`, `established`, `colonising`, `invasive`, `widespreadInvasive`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
relatedResourceID,Related Resource ID,"An identifier for a related resource (the object, rather than the subject of the relationship).",,,`dc609808-b09b-11e8-96f8-529269fb1459`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,No,No
relationshipAccordingTo,Relationship According To,"The source (person, organization, publication, reference) establishing the relationship between the two resources.",,,`Julie Woodruff`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,No,Yes
relationshipEstablishedDate,Relationship Established Date,The date-time on which the relationship between the two resources was established.,,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,"`1963-03-08T14:07-0600`, `2009-02-20T08:40Z`, `2018-08-29T15:19`, `1809-02-12`, `1906-06`, `1971`, `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z`, `1900/1909`, `2007-11-13/15`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,No,No
relationshipOfResource,Relationship Of Resource,The relationship of the subject (identified by resourceID) to the object (identified by relatedResourceID).,The relationship of the resource identified by relatedResourceID to the subject (optionally identified by the resourceID).,Recommended best practice is to use a controlled vocabulary. https://schema.org/Property,"`part of`, `contains`, `same as`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,Yes,No
relationshipRemarks,Relationship Remarks,Comments or notes about the relationship between the two resources.,,,"`The Darwin fossil collection makes up part of the museum's palaeontology collection.`, `Some of the same Madagascan bryophytes are included in both of these collections.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,No,No
resourceID,Resource ID,An identifier for the resource that is the subject of the relationship.,,,`f809b9e0-b09b-11e8-96f8-529269fb1459`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,Yes,No
genus,Genus,The full scientific name of the genus in which the taxon is classified.,"The full scientific name of the genus in which the collection's taxa are classified.",,"`Puma`, `Monoclea`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Taxon,No,No
kingdom,Kingdom,The full scientific name of the kingdom in which the taxon is classified.,The full scientific name of the kingdom in which the taxa in the collection are classified.,Examples of controlled vocabularies include http://tdwg.github.io/ontology/ontology/voc/Collection.rdf and https://doi.org/10.1371/journal.pone.0130114 https://en.wikipedia.org/wiki/Two-empire_system.,"`Animalia`, `Archaea`, `Bacteria`, `Chromista`, `Fungi`, `Plantae`, `Protozoa`, `Viruses`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Taxon,No,No
scientificName,Scientific Name,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.",The full scientific name. This should be the name in lowest level taxonomic rank that applies across the collection.,"If this field is used, then recommended to also complete the taxonRank. This term should not contain identification qualifications.","`Coleoptera` (order), `Vespertilionidae` (family), `Manis` (genus), `Ctenomys sociabilis` (genus + specificEpithet), `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Taxon,No,No
taxonRank,Taxon Rank,The taxonomic rank of the most specific name in the scientificName.,,Recommended best practice is to use a controlled vocabulary. For example: https://bioportal.bioontology.org/ontologies/TAXRANK?p=summary,"`subspecies`, `varietas`, `forma`, `species`, `genus`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Taxon,No,No
