term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable
Person,Person,"A person (alive, dead, undead, or fictional).",A person (alive or dead).,"This concept should map to the Schema.org Person class (https://schema.org/Person), and the prov:Person class (http://www.w3.org/ns/prov#Person) in the PROV ontology. In the latter, it is a subclass of prov:Agent, which through which it can map to the RDA recommendations on attribution (http://dx.doi.org/10.15497/RDA00029). The definition is appropriated from the Schema.org class.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/Person,No,Yes
PersonRole,Person Role,A qualified association between a Person or OrganisationalUnit and an entity such as an ObjectGroup or MeasurementOrFact that enables the relationship to be contextualised with a specific role and time period.,,"This class is aligned with the prov:qualifiedAttribution property (http://www.w3.org/ns/prov#qualifiedAttribution). It should be used instead of the Activity and PersonActivity classes to link a Person or OrganisationalUnit to an entity in situations where an activity is not know or is irrelevant, for example for describing a person's role within an organisation.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/PersonRole,No,Yes
RecordLevel,Record Level,The machine-actionable information profile for the collection description digital object.,,Linked to the RDA PID Kernel recommendation (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf),,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/RecordLevel,Yes,Yes
SchemeMeasurementOrFact,Scheme Measurement Or Fact,"A type of measurement or fact used by the LatimerCoreScheme, and the rules relating to its application.",,"This class can be used to specify the qualitative and quantitative metrics that will be included in the LatimerCoreScheme using the MeasurementOrFact class, and dictate whether each will be mandatory and/or repeatable. This information can be used by software and queries to constrain and validate the Latimer Core dataset, and determine how and whether metrics can be aggregated and reported. The schemeMeasurementType property should correspond to the measurementType property of the MeasurementOrFact class in order to make the relevant association between the scheme definition and the stored data.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact,No,Yes
SchemeTerm,Scheme Term,A Latimer Core term used by the LatimerCoreScheme and the rules relating to its application.,,"This class can be used to define which of the terms (classes and/or properties) within the standard (e.g. GeographicOrigin, Taxon, preservationMethod) are expected to be used within the scheme, and specify whether they're mandatory and/or repeatable. This information can be used by software and queries to validate the data and understand the rules by which metrics can be reported against the specified term.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/SchemeTerm,No,Yes
StorageLocation,Storage Location,"A physical location (such as a building, room, cabinet or drawer) within the holding institution where objects associated with the collection description are stored or exhibited.",,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/StorageLocation,No,Yes
TemporalCoverage,Temporal Coverage,A record of a time range represented by the collection's establishment or change over time. This term is separate from the living or geologic periods represented by the objects in the collection.,,"This class can be used to reflect temporal coverage of the collection within various contexts (defined by the temporalCoverageType property). Examples might include the time range in which objects within the collection were collected or the time period over which the collection was assembled.  It should not be used to document the time range within which the objects in the collection were alive, and if the time period you are trying to describe is better described by the `CollectionHistory`, `GeologicalContext` or `ChronometricAge` classes, or period property of the `ObjectGroup` class, then those classes or properties should be used instead. For example, the period property of the `ObjectGroup` class and/or `GeologicalContext` class should be used to record named time periods. `TemporalCoverage` is a repeatable class, but when present as a property of `Event` or `CollectionStatusHistory`, multiple occurences should be avoided and repeated occurences of the parent class should be used instead.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/TemporalCoverage,No,Yes
basisOfScheme,Basis Of Scheme,A summary of the basis or purpose for the LatimerCoreScheme.,,"This property is intended to summarise the reason for grouping a number of ObjectGroups within the LatimerCoreScheme, and the purpose for which the data is intended to be used. This may also be reflected in the terms and metrics defined using the SchemeTerm and SchemeMeasurementOrFact classes respectively. Using this approach, standard and reusable profiles within the wider Latimer Core standard may be constructed for common collection descriptions use cases.","`Accession`, `Inventory`, `Expedition`, `Digitisation planning`, `Collections assessment`, `Institution`, `Collections registry`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme,No,No
distinctObjects,Distinct Objects,A flag to designate whether a physical object may be described by more than one ObjectGroup within the LatimerCoreScheme.,"If distinctObjects is set to 'true', then no collection object should be covered by more than one object group within the LatimerCoreScheme.","If distinctObjects is set to 'true', then no collection object should be covered by more than one object group within the LatimerCoreScheme. This is important for aggregating and reporting on metrics such as object counts, as it prevents any physical object from being counted more than once.",`true` `false`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme,Yes,No
schemeName,Scheme Name,A short descriptive name given to the LatimerCoreScheme.,,,"`NHM Collections Inventory`, `Index Herbariorum`, `European Darwin Collections`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme,Yes,No
status,Status,The development status of the collection during a specified period.,,The values/vocabularies for a status are predicated by the statusType. The in the examples mentioned terms are a cumulative list of terms associated with several different statusTypes.,"`Complete`, `In part`, `Developing`, `Closed`, `Active growth`, `Consumable`, `Decreasing`, `Lost`, `Missing`, `Passive growth`, `Static`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory,Yes,No
statusChangeReason,Status Change Reason,An explanation of why the collection transitioned to the value set in the status property.,,statusChangeReason should be aligned with the value of statusType.,"`Pest infestation`, `Exchange`, `Transfer`, `Return to country of origin`, `Worldwide pandemic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory,No,No
statusType,Status Type,A top-level classification of the different categories of status that can be applied to the collection.,,statusType forms the top level of a two-level hierarchy with the status property.,"`Stewardship`, `Accessibility`, `Completeness`, `Collection dynamics`, `Organisational`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory,Yes,No
contactDetailCategory,Contact Detail Category,The method of contact to which the contact detail applies.,,Recommended practice is to use a controlled vocabulary.,"`Email`, `Phone`, `Twitter handle`, `GitHub handle`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContactDetail,Yes,No
contactDetailType,Contact Detail Type,"The type of contact detail, which can be used to distinguish between multiple contact details of the same contactDetailCategory.",,,"`Home`, `Personal`, `Work`, `General enquiries`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContactDetail,No,No
contactDetailValue,Contact Detail Value,"The value of the contact detail, such as the phone number or email address.",,,"`01234 567891`, `someone@example.org`, `@github_user`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContactDetail,Yes,No
region,Region,The name of a spatial region or named place of any size within an individual or multiple administrative areas.,The name of the spatial region or named place of any size within an individual or multiple administrative areas from which objects in the collection originated.,"Recommended best practice is to use this field in situations where the administrative location fields (country, stateProvince, county, etc.) provide insufficient description. For geological collections examples include basins, provinces, and fossil deposits.","Multi-country: `North European Plain`, Multi-state/Province: `Pacific Northwest`, Waterbody: `Southern`, Geological basins and provinces: `Michigan Basin`, `Mazon Creek`, `Bundenbach`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicOrigin,No,No
salinityType,Salinity Type,A set of terms to indicate the water environment of aquatic collections.,,"This should not be construed as a measurement value, but as a descriptive terms to allow for searching for freshwater vs marine etc. collections.","`marine`, `fresh`, `brackish`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicOrigin,No,No
waterBodyType,Waterbody Type,A term that indicates the aquatic order of a waterbody.,,https://www.usgs.gov/mission-areas/water-resources/science/types-water  https://sciencetrends.com/types-bodies-water-complete-list/,"`Ocean`, `Sea`, `Lake`, `Pond`, `River`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/GeographicOrigin,No,No
identifierType,Identifier Type,The type and format of the value in the identifier field.,,This property should be used to help people and software understand how the identifier can be used (e.g. whether it's a resolvable URI) and validate the identifier based on format and composition (e.g. a valid UUID).,"`Acronym`, `URI`, `UUID v4`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Identifier,Yes,No
measurementDerivation,Measurement Derivation,"An indicator as to whether the measurement, fact, characteristic, or assertion being applied to the collection was derived from reported figures or aggregated/calculated from underlying data.",,"If there is more detailed information about the method by which a measurement or fact was derived, this should be captured using the measurementMethod property.","`Reported`, `Calculated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
measurementFactText,Fact or Narrative Text,"The value of the qualitative fact, characteristic, or assertion being made about the collection.",,"This property should also be used for storing textual information about the collection within a particular context, such as narratives or comments about digitisation readiness.","`UV-light`, `Extra large`, `Level 1`, `Re-curation of this collection would be required prior to digitisation, requiring an estimated two weeks of curator time.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact,No,No
objectClassificationLevel,Object Classification Level,The level of the ObjectClassification in the hierarchy.,,It is up to the user to name the levels to be relevant to the hierarchical classification scheme that they are defining.,"`Domain`, `Discipline`, `Category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification,No,No
objectClassificationName,Object Classification Name,"A short title describing this ObjectClassification as a class, unit or grouping.",,"This is a user-determined name given for classifying their collection. This name, expressing an assigned classification, can be part of a self-referential hierarchy.","`Zoology invertebrates`, `Palaeontology`, `Extra-terrestrial`, `Archaeology`, `Seed plants`, `Birds`, `Agriculture`, `Veterinary`, `Viruses`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification,Yes,No
objectClassificationParent,Object Classification Parent,The immediate parent of the ObjectClassification in a self-referential hierarchy.,,,The ObjectClassification `Zoology` is the parent of the `Invertebrates` ObjectClassification; the ObjectClassification `Extraterrestrial` is the parent of the `Meteorites` ObjectClassification.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification,No,No
baseTypeOfObjectGroup,Base Type Of Object Group,High-level term describing the fundamental nature of objects in the ObjectGroup.,,"For natural history collections baseTypeOfObjectGroup describes types of occurrences and may constrain the values available in objectType. Notes for ObjectGroups where baseTypeOfObjectGroup is 'InformationArtefact': subsequent ‘type’ properties could include hierarchical Audiovisual Core/Dublin Core terms – e.g. dc:type (http://purl.org/dc/elements/1.1/type), ac:subtype / ac:subtypeLiteral (http://rs.tdwg.org/ac/terms/subtypeLiteral), or (proposed) ac:3DResourceType.","`MaterialSample`, `InformationArtefact`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,Yes,No
collectionManagementSystem,Collection Management System,The collection management system which is used to hold and manage the primary data for the objects contained within the ObjectGroup.,,"This should reflect the system or database in which the object-level records reside, rather than the source of the Collection Description data.","`Specify 7`, `DINA`, `Axiell EMu`, `Arctos`, `EarthCape`, `BRAHMS`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
collectionName,Collection Name,A short title that summarises the collection objects contained within the ObjectGroup.,,,"`The Leslie Hubricht Molluscan Collection`, `NHM Algae, Fungi and Plants collection`, `Crustacea – Cirripedes, Decapoda`, `Global Mesozoic and Paleozoic mollusc faunas/samples`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,Yes,No
conditionsOfAccess,Conditions of Access,Information about who can access the collection being described or an indication of its security status.,,"If available, this should be a URL to a stable policy page. For example, https://www.fieldmuseum.org/science/research/area/fossils-meteorites/fossils-meteorites-policies.",`Open to the public`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
currentCollection,Current Collection,A flag to indicate whether the collection still exists as a single entity.,,Use this to indicate if the record describes the entirety of a known historical collection. If only part of the collection is present the value is 'false'.,`true` `false` `unknown`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,No
discipline,Discipline,A high level classification of the scientific discipline to which the objects within the collection belong or are related.,,"The recommendation is to use a controlled vocabulary that is also common across other community collections, object and occurrence standards. Suggested list https://confluence.egi.eu/display/EGIG/Scientific+Disciplines","`Anthropology`, `Botany`, `Extraterrestrial`, `Geology`, `Microorganisms`, `Other geo/biodiversity`, `Palaeontology`, `Virology`, `Zoology invertebrates`, `Zoology vertebrates`, `Unspecified`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
knownToContainTypes,Known To Contain Types,Flag property to indicate that the collection is known to include type specimens.,,`yes` - this collection contains types; `no` - this collections does not contain types; `unknown` - this collection has not been checked for types or the type concept is irrelevant for this discipline,`yes` `no` `unknown`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,No
material,Material,"Material denotes the raw substance(s) from which the object is formed, in whole or in part.",,This definition maps roughly to the concept of E57 'material' from the CIDOC CRM: https://cidoc-crm.org/Entity/E57-Material/version-7.1.1,"The object, or artefact could contain biological parts, for example jewellery made of amber with insects in, or cloaks made of bird feathers. It should not be used for taxonomic identifications. Examples include terms such as `brick`, `gold`, `aluminium`, `polycarbonate`, `resin`, `amber`, `feather`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
objectType,Object Type,High-level terms for the classification of curated objects.,A more generic classification of items in the collection than described in preparationType.,"This should not be used for classifying objects by taxon. The best way to do that is to use the Taxon class (formal taxonomy and vernacular names) or ObjectClassification class (informal classification). For cultural collections terms such as 'bowl', 'textile' are appropriate at this level. For large collections of multiple types use pipe delimited lists.","`tissue`, `specimen`, `culture`, `rna`, `mineral`, `dna`, `environmental sample`, `HTS Library`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
period,Period,Used to describe prehistoric or historic periods.,Used to describe the prehistoric or historic period  from which objects in the collection originated.,"Often used to describe prehistoric or historic periods, but also geopolitical units and activities of settlements are regarded as special cases of Period. However, there are no assumptions about the scale of the associated phenomena. In particular all events are seen as synthetic processes consisting of coherent phenomena. This property maps to the Period class of the CIDOC-CRM conceptual reference model (http://www.cidoc-crm.org/Entity/e4-period/version-7.1.1).","`Neolithic Period`, `Ming Dynasty`, `McCarthy Era`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
preparationType,Preparation Type,A term used to classify or describe an object that indicates the actions that have been taken upon it and/or the processes it has been put through to prepare it for scientific use or study.,A more specific classification of items in the collection than described in objectType.,"This can be the same as PreservationMethod (e.g. Bone), but is not always. This should not be used for classifying objects by taxon. The best way to do that is to use the Taxon class (formal taxonomy and vernacular names) or ObjectClassification class (informal classification). For large collections with multiple types use a pipe delimited list.","`Bones`, `Eggs`, `Fossils`, `Gemstones`, `Lysate`, `Macrofossils`, `eDNA`, `Viable cells`, `Pollen`, `Muscle`, `Leaf`, `Blood`, `Known - witheld`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
preservationMethod,Preservation Method,"A term used to classify or describe an object that indicates the primary or most recent action, measure or process that has been used in order to preserve the objects in the collection for long-term storage.",For the purposes of a collection description preservationType should be used to describe the larger collection,"Not intended to be used as the fossilization method. Use preservationMode for that. This field is intended to be use where a collection has a single or prominent preservationMethod. If the collection has multiple preservationMethods then this should be expressed elsewhere, such as in ObjectQuantity. We recommend the Arctos PART_PRESERVATION vocabulary (https://arctos.database.museum/info/ctDocumentation.cfm?table=CTPART_PRESERVATION). For herbarium sheets use 'dried_pressed'. If an alcohol collection uses mixed percentages use 'alcohol'.","`fluid_preserved`, `alcohol`, `formaldehyde`, `dried`, `dried_pinned`, `dried_pressed`, `mounted`, `microscope_slide`, `glycerin`, `gum_arabic`, `frozen`, `refrigerated`, `freeze_dried`, `mixed`, `no_treatment`, `known:withheld`, `unknown`, `papered/packaged`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
preservationMode,Preservation Mode,"The means by which a palaeontological specimen was preserved or created e.g. body, cast, mold, trace fossil, soft parts mineralised etc.",Use to describe the preservation mode of a collection as a whole. (e.g. Amber collection),This property is aligned with the concept of preservationMode (https://efg.geocase.eu/documentation/html/efg.html#element_PreservationMode_Link03032878) in ABCD(EFG).,"`adpression/compression`, `body`, `cast`, `charcoalification`, `coalified`, `concretion`, `dissolution traces`, `mold/impression`, `permineralised`, `recrystallised`, `soft parts`, `trace`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
typeOfObjectGroup,Type Of Object Group,Additional information that exists that describes the object(s) in the collection.,,"Terms such as soil, pollen, faeces, muscle, genomic DNA are currently put in preparationType. These terms have been parked for discussion: HumanObservations, MachineObservations.","`PreservedSpecimens`, `FossilSpecimens`, `MineralSpecimens`, `ArchaeologicalArtefacts`, `EthnographicObjects`, `HumanRemains`, `HominidRemains`, `MaterialSamples`, `LivingSpecimens`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup,No,Yes
organisationalUnitName,Organisational Unit Name,An official name of the organisational unit in the local language.,,"Repeatable where there are more than one official local language required for example Belgian Institutions where an official name exists in French, Dutch, German and English. See 'A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org' (https://www.rd-alliance.org/group/research-metadata-schemas-wg/outcomes/collection-crosswalks-fifteen-research-data-schemas) from RDA for crosswalks for properties with the function of Name, Title, etc. Take into account the note at the class level (Class:OrganisationalUnit) about associating an identifier in addition to a name with the organisational unit.","`Muséum national d'Histoire naturelle`, `The Field Museum of Natural History`, `Division of Fishes`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit,Yes,No
organisationalUnitType,Organisational Unit Type,The type or level of organisational unit within a hierarchy responsible for the management of the collection being described.,,Example vocabulary list: https://vocab.org/aiiso/ . This property is likely related to the W3C class org:Role (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#class-role).,"`Department` (A group of people recognised by an organization as forming a cohesive group referred to by the organization as a department), `Division` (A group of people recognised by an organization as forming a cohesive group referred to by the organization as a division)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit,Yes,No
endedAtTime,Ended At Time,The date or time when a Person stopped fulfilling the role specified in the role property.,,This property maps to the PROV-O term endedAtTime (http://www.w3.org/ns/prov#endedAtTime) in the Activity class (http://www.w3.org/ns/prov#Activity).,"`1886`, `1984-09`, `2001-10-22`, `1997-07-16T19:20+01:00`, `1997-07-16T19:20:30+01:00`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/PersonRole,No,No
role,Role,"A role played by a Person in the context of an entity such as an ObjectGroup, OrganisationalUnit or RecordLevel.",,This property maps to the PROV-O property hadRole (http://www.w3.org/ns/prov#hadRole).,"`Director`, `Chair`, `Record owner`, `Primary Collection Description record contact`, `Primary collection contact`, `Owner`, `Curator`, `Collection manager`, `Head of department`, `Registrar`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/PersonRole,Yes,No
startedAtTime,Started At Time,The date or time when a Person started fulfilling the role specified in the role property.,,This property maps to the PROV-O term startedAtTime (http://www.w3.org/ns/prov#startedAtTime) in the Activity class (http://www.w3.org/ns/prov#Activity).,"`1886`, `1984-09`, `2001-10-22`, `1997-07-16T19:20+01:00`, `1997-07-16T19:20:30+01:00`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/PersonRole,No,No
collectionDescriptionPID,Collection Description PID,An unambiguous reference to the collection description record.,The contents of this field must be an instance of ltc:Identifier,"Recommended practice is to identify the resource by means of a string conforming to an identification system. Examples include International Standard Book Number (ISBN), Digital Object Identifier (DOI), and Uniform Resource Name (URN). Persistent identifiers should be provided as HTTP URIs.",`10.5072/example-full`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/RecordLevel,Yes,No
derivedCollection,Derived Collection,A flag to indicate that the collection description has been generated by aggregating data from one or more underlying datasets of its individual objects.,,For example this would be set = Yes if the record is an automatically generated reconstruction of Darwin’s finch collection which is now held at multiple institutions.,"`Yes`, `No`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/RecordLevel,No,No
referenceType,Reference Type,The type of resource being referenced.,,This property is intended to be used for a high level categorisation of resource types.,"`Policy`, `Document`, `Website`, `Dataset`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Reference,No,No
relatedResourceName,Related Resource Name,A short textual name for the related resource.,,"This property can be used to list resources related to the source entity which lack an identifier, for example if a separate record for that resource doesn't yet exist. In the Collection Description standard, a use of this is to list named subcollections of a larger collections at a time when the resources might not be available to create a full Collection Description for each of them. If at a later point a Collection Description record is created for the subcollection, an identifier can be added to the relatedResourceID property to maintain the same relationship.","`FMNH Mammals`, `TNHC Vertebrates`, `Sloane Herbarium`, `Grant Southwest Ceramics Collection`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship,No,No
mandatoryMetric,Mandatory Metric,A flag to designate whether it's mandatory or optional for every collection description within the CollectionDescriptionScheme to include the measurement or fact defined by the schemeMeasurementType property.,,This flag can be used for software automation and data validation.,"`true`, `false`, `yes`, `no`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact,Yes,No
repeatableMetric,Repeatable Metric,A flag to designate whether multiple instances of the same schemeMeasurementType may be attached to a single entity.,,"For example, this property can be used to stipulate that, using the MeasurementOrFact class, only one 'Object count' may be attached to an ObjectGroup, but multiple 'Curator notes' may be attached to the same ObjectGroup.","`true`, `false`, `yes`, `no`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact,Yes,No
